id,默认,别名,academic
主火山,,,
地狱,,,
深渊,,,
六翼蝙蝠,,,
仙子热量循环系统,热量循环系统,,
仙子主动制冷系统,主动制冷系统,,
无痛吸血,,,
生殖吸血,,,
松果眼,,,
辅助眼,,,
怪动植物固定爪,,,
无意识飞行,,,
本能飞行,,,
怪动植物羽翼,,,
能量脂,,,
含N物质,,,
怪动植物控温系统,,,
怪动植物热量循环系统,,,
怪动植物主动制冷系统,,,
灭火系统,,,
灭火气体,,,
怪动植物侧线,侧线,,
怪动植物主侧线,主侧线,,
怪动植物副侧线,副侧线,,
怪动植物装饰侧线,装饰侧线,,
怪动植物辅助感知线,感知线,,
怪动植物整流罩,,,
怪动植物整流羽,,,
控制系统,,,
控制接口,,,
控制神经干,,,
控制神经,,,
监控神经,,,
引导系统,,,
虚拟继承,,,
批判式继承,,,
抽象继承,,,
假睾丸,,,
假精子,,,
胸前扩展区,,,
脊柱外扩展区,,,
头部扩展区,,,
手脚扩展区,,,
主扩展模块,,,
不对称婚姻,,,
不对称生殖,,,
计划生育,,,
计命器,,,
预言,,,
主行星,,,
天堂,,,
特殊系统,,,生物能量特殊系统
特殊能力,,,
特殊能力者,,,
供能网络,,,
执行网络,,,
执行指令,,,
接口,,,
怪物系统,,,
怪物网络,,,
天基怪物网络,,,
地基怪物网络,,,
怪动植物,,黑白怪物,
怪动物,,白色怪物,
怪植物,,黑色怪物,
怪机器,,,
仙子,,,
仙子本体,,,
仙子皮肤,,,
芳香腺,,,
吸取系统,,,
吸取腔,,,
逆向输尿管,,,
输精管,,,
精液吸收系统,,,
双螺旋瓣肠,,,
营养液,,,
仙子毒素A,,,
仙子毒素B,,,
仙子毒素C,,,
仙子爪,,,
水仙子,,水仙女,
蝶仙子,,蝶仙女,
花仙子,,花仙女,
玉仙子,,,
丝仙子,,,
嗜血仙子,,黑白仙女,
吟游仙子,,,
子母虫,,,
母虫,,,
子虫,,,
鲛人,,,
人类,,,
精灵,,,
人族,,,
血族,,,
寄生人,,,
小寄生人,,,
妖,,,
心形虫,,,
神明,,,
真神,,,
支配者,,,
旧日支配者,,,
克苏鲁,,,
新时代支配者,,,
被支配者,,,
神棍,,,
伪神,神明,,
指导员,,,
深渊鱼,,,
不对称结婚,,,
特殊系统节点,,,
热量心,,,
毛细热管,,,
热囊,,,
交换网,,,
制冷心,,,
冷凝网,,,
柔性吸血针,,,
喷气鸟,,,
嗜血仙子固定爪,,,
信标,,,
呼吸网,,,
主制冷系统,,,
高温辅助制冷系统,,,
低温辅助制冷系统,,,
基因库,,,
记忆库,,,
怪物果实,,,
引导程序,,,
试验型怪动植物,,,
怪物,,,
怪物接口,,,
特殊的人形生物,,,
限制系统,,,
计划生育系统,,,
拟人演化,,,
假胸部,,,
动植物果实,,黑白果实,
地狱的真菌,,,
修炼,,,
冷囊,,,
发电细菌,,,
巨型花,,,
巨型蜂,,,
巨型蝴蝶,,,
扩展模块,,,
特殊植物,,,
特殊真菌,,,
用户,,,
营养腺,,,
限额,,,
黑色植物,,,
怪物服,,,
仙子玉,,,
仙鲸,,,
引导管,,,
超级系统节点,,,
